Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"O Sabor da Arquitetura : a
influência da arquitetura no
comportamento humano,
em ambientes de bares e
restaurantes.",2003,"Abreu, Cristianne Assis de.","Esteves, Milton Júnior",,Estudo e análise arquitetônica em bares e restaurantes ,História e Teoria da Arquitetura e Urbanismo,Análise/arquitetura/restaurante,n/d
"O vago e o específico das
exposições",2001,"Abreu, Isabel Frota de","Frizzera, Kleber Perini","Miranda, Clara
Luiza",Desenvolvimento de modelo metodológico flexível para auxiliar elaboração de projetos de mostras de arte e exposições ,História e Teoria da Arquitetura e Urbanismo,Análise/metodologia de projeto/exposição/arte,n/d
"Corpo inverso: outros
movimentos possíves!",2007,"Abreu, Joyce Naara
Pimenta","Almeida, Renata
Hermanny de",,Investigação acerca da problemática do corpo físico frente aos impactos do universo tecnológico informacional no modo de representação e apreensão do mundo ,História e Teoria da Arquitetura e Urbanismo,Ensaio/corpo/ tecnologia,n/d
"Chip: centro de integração
popular uma proposta
arquitetônica para a
Enseada do Suá",2015,"Accarino, Lorenzo de
Souza.","Rocha, Bruno
Massara","Penteado, Homero",Projeto de edificação sócio esportivo cultural na enseada do Suá ,Projeto de arquitetura,Projeto/centro de (núcleo de)/sócio esportivo cultural,Enseada do Suá
"Arquitetas do Movimento
Moderno Brasileiro (1939-
1975): projetos publicados
nas revistas Acrópole e
Módulo.",2016,"Adame, Telmi","Ribeiro,
Nelson Pôrto.",,Levantamento dos projetos publicados nas revistas do título feito por mulheres,História e Teoria da Arquitetura e Urbanismo,Análise/ levantamento/feminismo/modernismo,n/d
"Publicidade e paisagem
urbana : no olho da rua",2003,"Adami, Luciana do Rosário.","Mendonça, Eneida Maria
Souza",,Análise e levantamento da publicidade na paisagem urbana (levantamento em um percurso-principais avenidas de vix). Traça diretrizes para o planejamento da publicidade na paisagem urbana de vix. Tem fotos antes e depois mostrando como ficaria ,Projeto de urbanismo,Análise/ levantamento/metodologia de projeto/paisagem/ urbano ,Vitória
"Arquitetando a água:
proposta de um núcleo de
saneamento ecológico",2008,"Aguiar, Karolyna Costa","Alvarez, Cristina Engel de",,Projeto de núcleo de saneamento ecológico na UFES ,Projeto de arquitetura,Projeto/centro de (núcleo de)/sócio esportivo cultural,UFES Goiabeiras
"Reabilitação tecnológica:
estudos para a
remodelação do hotel
estoril.",2001,"Aguirre, Luciana Santos","Marroquim, Ione","Romanelli,
Marco Antônio","Remodelação (requalificação) do hotel Estoril, no centro ",Técnicas Retrospectivas,Requalificação/patrimônio/hotel Estoril,Centro de Vitória
"Biblioteca pública:
conhecimento, cultura e
lazer",2007,"Albani, Vivian","Ribeiro,
Rogério Almenara",,Projeto acessível de biblioteca pública na ilha de Santa Maria ,Projeto de arquitetura,Projeto/Biblioteca/acessibilidade,Ilha de Santa Maria
"Centro de reabilitação para
dependentes químicos :
espaço e forma:
Humanização",2005,"Albuquerque, Letícia Dalvi
de.","Penteado, Homero",,Projeto de centro de realibilitação em jacaraipe,Projeto de arquitetura,Projeto/centro de (núcleo de)/reabilitação,Jacaraípe
